id,record_id,table_id,title,description
0,7,0,"Date: 2020-07-14",""
1,8,0,"",""
2,9,0,"Sleep Score: 72.0",""
3,10,0,"Activity Score: 95.0",""
4,11,0,"Readiness Score: 62.0",""
5,13,0,"H: 0",""
6,14,0,"H: 1",""
7,15,0,"H: 2",""
8,16,0,"H: 3",""
9,17,0,"H: 4",""
10,18,0,"H: 5",""
11,19,0,"H: 6",""
12,20,0,"H: 7",""
13,21,0,"H: 8",""
14,22,0,"H: 9",""
15,23,0,"H: 10",""
16,24,0,"H: 11",""
17,25,0,"H: 12",""
18,26,0,"H: 13",""
19,27,0,"H: 14",""
20,28,0,"H: 15",""
21,29,0,"H: 16",""
22,30,0,"H: 17",""
23,31,0,"H: 18",""
24,32,0,"H: 19",""
25,33,0,"H: 20",""
26,34,0,"H: 21",""
27,35,0,"H: 22",""
28,36,0,"H: 23",""
29,45,0,"Work Type: admin/ Focus Quality: 4",""
30,46,0,"Engagement Rating: 4",""
31,47,0,"Company Benefit: 5",""
32,48,0,"Carbs (g): 72.78",""
33,49,0,"Fat (g): 18.66",""
34,50,0,"Protein (g): 43.879999999999995",""
35,53,0,"Work Type: creative_generative/ Focus Quality: 4",""
36,54,0,"Engagement Rating: 5",""
37,55,0,"Company Benefit: 5",""
38,58,0,"Work Type: consuming_learing_strategy/ Focus Quality: 5",""
39,59,0,"Engagement Rating: 5",""
40,60,0,"Company Benefit: 5",""
41,63,0,"Work Type: creative_generative/ Focus Quality: 5",""
42,64,0,"Engagement Rating: 5",""
43,65,0,"Company Benefit: 5",""
44,68,0,"Work Type: admin/ Focus Quality: 2",""
45,69,0,"Engagement Rating: 4",""
46,70,0,"Company Benefit: 2",""
47,73,0,"Work Type: fucking_off/ Focus Quality: 2",""
48,74,0,"Engagement Rating: 5",""
49,75,0,"Company Benefit: 1",""
50,82,0,"Bedtime: 23:50:25",""
51,83,0,"Date: 2020-07-15",""
52,84,0,"",""
53,85,0,"Sleep Score: 78.0",""
54,86,0,"Activity Score: 96.0",""
55,87,0,"Readiness Score: 69.0",""
56,89,0,"H: 0",""
57,90,0,"H: 1",""
58,91,0,"H: 2",""
59,92,0,"H: 3",""
60,93,0,"H: 4",""
61,94,0,"H: 5",""
62,95,0,"H: 6",""
63,96,0,"H: 7",""
64,97,0,"H: 8",""
65,98,0,"H: 9",""
66,99,0,"H: 10",""
67,100,0,"H: 11",""
68,101,0,"H: 12",""
69,102,0,"H: 13",""
70,103,0,"H: 14",""
71,104,0,"H: 15",""
72,105,0,"H: 16",""
73,106,0,"H: 17",""
74,107,0,"H: 18",""
75,108,0,"H: 19",""
76,109,0,"H: 20",""
77,110,0,"H: 21",""
78,111,0,"H: 22",""
79,112,0,"H: 23",""
80,119,0,"Workout type: yoga/ # of cal's: 5",""
81,125,0,"Workout type: lifting/ # of cal's: 4",""
82,132,0,"Blood Glucose: 94.0",""
83,133,0,"Work Type: with_people/ Focus Quality: 4",""
84,134,0,"Engagement Rating: 5",""
85,135,0,"Company Benefit: 5",""
86,138,0,"Blood Glucose: 78.0",""
87,139,0,"Work Type: admin/ Focus Quality: 5",""
88,140,0,"Engagement Rating: 2",""
89,141,0,"Company Benefit: 3",""
90,144,0,"Blood Glucose: 102.0",""
91,145,0,"Work Type: consuming_learing_strategy/ Focus Quality: 5",""
92,146,0,"Engagement Rating: 5",""
93,147,0,"Company Benefit: 2",""
94,148,0,"Carbs (g): 96.31",""
95,149,0,"Fat (g): 47.43000000000001",""
96,150,0,"Protein (g): 38.43",""
97,153,0,"Blood Glucose: 113.0",""
98,154,0,"Work Type: fucking_off/ Focus Quality: 5",""
99,155,0,"Engagement Rating: 3",""
100,156,0,"Company Benefit: 1",""
101,159,0,"Work Type: admin/ Focus Quality: 3",""
102,160,0,"Engagement Rating: 3",""
103,161,0,"Company Benefit: 3",""
104,164,0,"Blood Glucose: 87.0",""
105,165,0,"Work Type: with_people/ Focus Quality: 2",""
106,166,0,"Engagement Rating: 5",""
107,167,0,"Company Benefit: 1",""
108,171,0,"Carbs (g): 50.989999999999995",""
109,172,0,"Fat (g): 44.0",""
110,173,0,"Protein (g): 44.0",""
111,175,0,"Bedtime: 21:14:08",""
112,178,0,"Date: 2020-07-16",""
113,179,0,"",""
114,180,0,"Sleep Score: 75.0",""
115,181,0,"Activity Score: 93.0",""
116,182,0,"Readiness Score: 71.0",""
117,184,0,"H: 0",""
118,185,0,"H: 1",""
119,186,0,"H: 2",""
120,187,0,"H: 3",""
121,188,0,"H: 4",""
122,189,0,"H: 5",""
123,190,0,"H: 6",""
124,191,0,"H: 7",""
125,192,0,"H: 8",""
